LatitudeOrigine,LongitudeOrigine,LatitudeModel,LongitudeModel,DistanceModel,LatitudeRandom,LongitudeRandom,DistanceRandom
-0.2768407,110.1047823,31.126322,-86.52937,16170.904485555135,73.37120819329004,-77.27954577518736,11873.555926138957
-0.9589046,-62.937968,30.214317,25.924606,9958.25003755747,18.504021567138082,-70.74241290667231,2316.093681324848
-1.1322125,-46.6191948,10.098165,-39.75505,1456.2865821248624,-10.196579796045128,-104.45534789010877,6475.199783312754
-10.0700455,124.3421104,43.651268,44.556644,9966.487121496357,32.268588044136465,38.1741284486524,10248.464099995543
-10.183049,-36.8346604,-17.43237,-64.0208,3043.1266275714634,2.9722030404557813,73.77875995272552,12334.084262503919
-10.6008987,-36.9752611,51.775063,-20.088705,7099.078825532906,13.27965104766976,-115.05346845347427,9019.09135169511
-10.7276833,-37.8005721,-6.9864745,-50.861477,1494.7755549443364,5.33189797185149,-147.54267930581824,12282.649490677486
-11.7537602,-40.7158282,-22.78393,20.641754,6594.279901486263,26.7083567836997,146.46100403831144,18190.76077877553
-11.8132673,-39.3765193,-2.733137,-42.635906,1066.633929254343,1.0309443357498083,-55.93728090549038,2317.711585533002
-12.4151635,-41.772674,16.804708,-37.26841,3269.482674694796,75.03921854852416,152.18024404792118,12992.23469653432
-12.5065815,-76.738071,13.447268,-48.357254,4248.362320169633,15.682378490112711,-2.1633135173197786,8783.232052915142
-13.5918724,-70.9459063,53.455986,9.369098,10580.768152204086,18.587416670186258,90.783282139898,18002.4652152868
-13.6714368,132.0094306,35.017128,-99.196976,14390.603595200755,-87.8335845229166,-159.12658466952985,8403.727028310117
-13.8576898,-172.0611335,-20.425808,-49.784393,12661.466739880741,-33.94516937889962,-28.648613431734645,13455.853578938008
-14.2890202,-43.6386102,-24.734165,94.524574,13753.52875784535,37.68482945222905,18.80119484199301,8688.452739755698
-14.606967,-73.6115742,48.50008,12.263122,10912.380121790447,-8.31996079413716,21.732940929625414,10355.942196467746
-14.7837351,-39.0539844,27.950493,20.093988,7935.472198344608,83.5793402782372,171.0869716143701,12254.162442737435
-15.0667291,-57.173129,16.362793,-27.541508,4763.312624491506,79.57393565591386,-155.36805088059165,11806.006268200663
-15.4733878,-55.7274976,-6.218358,-52.191246,1094.1759610875986,-60.511484524922224,-135.25124522832553,7948.058672832591
-15.5039288,-40.8298927,-6.6423345,-46.491776,1158.7554759082886,-35.033312535813664,92.03006385078777,12530.597337043038
-16.3764513,-52.4514749,18.92673,-19.849632,5290.849128726973,21.18837773233973,-47.571688694535254,4189.262985034395
-16.4714887,-54.4835969,-14.167718,-33.1455,2304.4955827633053,65.63459507905776,-146.80877967392732,11765.937725740596
-16.5807169,-52.0209611,-26.853258,-28.329481,2695.6958424798304,-61.79143261438175,-105.68691934569641,6524.871870609077
-16.7434566,135.7285921,-20.721252,143.3026,911.8239197464109,-86.92646765329778,-114.45782479016871,8268.835728468497
-16.8565255,141.9704306,-18.836067,127.83541,1513.7434476580233,-77.09319241908067,78.82017051372998,7531.992652900887
-16.9098326,-51.0523146,32.97391,-93.85529,7154.875377148138,53.40763111682216,-103.14396699789908,9241.39376184137
-16.922397,145.7801967,40.766922,13.4239435,14759.784547381518,-3.2077321975443454,80.84957873903426,7245.7606614511105
-17.0389934,-47.9460918,-13.241563,-51.134727,542.1774800995195,64.7757923048641,-58.06954914270092,9112.04001972492
-17.1528992,125.4679053,19.646193,-1.1581322,14409.514720929976,47.12743789727028,-174.62170139074593,9290.327574951509
-17.390842,145.9096945,50.598427,-98.28326,13301.061506938824,79.8718370659848,-36.41089848176111,13055.672634222394
-17.8192202,-49.5077956,-19.46784,65.54128,11818.970010295296,88.40798743216834,-163.13779105415298,12043.550139508428
-17.8232582,122.6016175,13.987731,-22.925207,16323.647215129688,9.941847671162918,-11.11044431387458,14968.515789014184
-17.8848761,-47.0555216,-16.301552,-46.169804,198.97371618846552,-1.6614320688201758,-89.65687600891931,4987.5611557788725
-17.9053187,-54.6918418,-19.268812,-55.493324,173.01215950626997,-58.45244859994709,42.14414476240427,8717.4114943138
